Corridor;Localisation;Ceinture;Rabattement;Emplacements existants;Longitude;Latitude
A;Echternach;Frontalière;Bus;500;6,40732;49,80545
A;Junglinster-Contournement;Régionale;Bus;251;6,27005;49,71805
B;Wasserbillig-Gare;Frontalière;Train;77;6,49849;49,71291
B;Mesenich frontière;Frontalière;Bus;261;6,49030;49,72553
B;Grevenmacher;Frontalière;Bus;36;6,44687;49,68035
B;Manternach;Régionale;Train;19;6,42383;49,70681
B;Wecker;Régionale;Train;44;6,38738;49,69982
B;Betzdorf;Régionale;Train;6;6,34919;49,68893
B;Roodt-Syre;Régionale;Train;64;6,30278;49,66614
B;Münsbach;Régionale;Train;46;6,26847;49,63106
B;Kirchberg;Citadine;Bus;265;6,17486;49,63633
C;Oetrange;Régionale;Train;59;6,25867;49,60267
C;Sandweiler/Contern;Régionale;Train;31;6,20536;49,60114
D;Frisange - Est;Frontalière;Bus;268;6,19381;49,50695
E;Dudelange-Usines;Frontalière;Train;37;6,07949;49,47083
E;Dudelange-Centre;Frontalière;Train;130;6,08316;49,48377
E;Dudelange-Ville;Frontalière;Train;142;6,08296;49,48326
E;Dudelange-Burange;Frontalière;Train;18;6,08650;49,49267
E;Rumelange;Frontalière;Train;177;6,03234;49,45988
E;Tétange;Frontalière;Train;21;6,03394;49,47600
E;Kayl;Frontalière;Train;33;6,03551;49,48517
E;Bettembourg;Régionale;Train;268;6,10191;49,51552
E;Berchem;Régionale;Train;175;6,13412;49,54316
E;Kockelscheuer;Citadine;Bus;567;6,10791;49,56571
E;Howald Sud;Citadine;Bus;881;6,12792;49,57859
F;Belval-Université;Frontalière;Train;1.600;5,94379;49,49999
F;Belvaux-Soleuvre;Frontalière;Train;21;5,92683;49,51504
F;Oberkorn;Frontalière;Train;6;5,89336;49,50936
F;Schifflange;Régionale;Train;118;6,00938;49,50624
F;Bouillon;Citadine;Bus;2.442;6,10700;49,59975
G;Differdange;Frontalière;Train;271;5,89148;49,52252
G;Niederkorn;Frontalière;Train;15;5,89339;49,53636
G;Rodange;Frontalière;Train;166;5,84551;49,55127
G;Lamadelaine;Frontalière;Train;26;5,86079;49,55340
G;Pétange-Nord;Frontalière;Train;271;5,88072;49,55472
G;Pétange-Sud;Frontalière;Train;69;5,87793;49,55342
G;Bascharage-Sanem;Régionale;Train;246;5,92467;49,55799
G;Dippach-Reckange;Régionale;Train;89;5,99389;49,57265
G;Leudelange-Gare;Régionale;Train;76;6,05914;49,58693
H;Steinfort;Frontalière;Bus;175;5,91106;49,65786
H;Kleinbettingen;Frontalière;Train;138;5,91742;49,64411
H;Capellen;Régionale;Train;52;5,98197;49,63852
H;Mamer Gare;Régionale;Train;52;6,02064;49,62547
H;Bertrange-Strassen;Citadine;Train;56;6,05966;49,61305
J;Troisvierges;Frontalière;Train;240;5,99001;50,11989
J;Maulusmühle;Régionale;Train;12;6,02679;50,09412
J;Clervaux;Régionale;Train;145;6,02441;50,06215
J;Wilwerwiltz;Régionale;Train;44;6,00072;49,98859
J;Wiltz;Régionale;Train;192;5,92669;49,96615
J;Kautenbach;Régionale;Train;82;6,02149;49,94912
J;Goebelsmühle;Régionale;Train;13;6,05639;49,92047
J;Michelau;Régionale;Train;18;6,09171;49,89701
J;Diekirch;Régionale;Train;376;6,15320;49,86438
J;Ettelbrück;Régionale;Train;213;6,10762;49,84844
J;Schieren;Régionale;Train;36;6,09504;49,82970
J;Colmar-Berg;Régionale;Train;41;6,10088;49,81525
J;Cruchten;Régionale;Train;27;6,12042;49,79647
J;Mersch Gare;Régionale;Train;115;6,11012;49,75325
J;Mersch - Rond-Point;Régionale;Train;110;6,11144;49,74878
J;Lintgen;Régionale;Train;177;6,12317;49,72108
J;Lorentzweiler;Régionale;Train;151;6,14068;49,69847
J;Walferdange;Citadine;Train;52;6,13613;49,66245
J;Beggen;Citadine;Bus;160;6,13488;49,64739
J;Dommeldange;Citadine;Train;74;6,13676;49,63448
J;Gare Centrale;Citadine;Train;634;6,13249;49,59773
