line,station
1,"Hollerich, Garage Avl"
1,"Kirchberg, Luxexpo Entrée Sud"
1,"Kirchberg, Poutty Stein"
1,"Kirchberg, Luxexpo Quai 4 (Arrêt Bus)"
1,"Kirchberg, Hôpital"
1,"Kirchberg, Alphonse Weicker"
1,"Kirchberg, Réimerwee"
1,"Kirchberg, Albert Borschette"
1,"Kirchberg, Coudenhove-Kalergi"
1,"Kirchberg, Konrad Adenauer"
1,"Kirchberg, Antoine De St Exupéry"
1,"Kirchberg, Jean Monnet"
1,"Kirchberg, B.E.I."
1,"Kirchberg, Rout Bréck - Pafendall"
1,"Centre, Fondation Pescatore"
1,"Centre, Martyrs"
1,"Centre, Paris/Zitha"
1,"Luxembourg, Gare Centrale"
1,"Hollerich, Fonderie"
1,"Hollerich, Jean-Baptiste Merkels"
1,"Hollerich, Salzhaff"
1,"Hollerich, P+R Bouillon Ext."
1,"Hollerich, P+R Bouillon"
1,"Hollerich, Garage Avl"
2,"Cessange, Boy Konen"
2,"Limpertsberg, Lycée Michel Lucius"
2,"Limpertsberg, Avenir"
2,"Limpertsberg, Wassertuerm"
2,"Limpertsberg, Square André"
2,"Limpertsberg, Alen Tramsschapp"
2,"Limpertsberg, Lycée De Garçons"
2,"Limpertsberg, Lycée Robert Schuman"
2,"Centre, Fondation Pescatore"
2,"Centre, Martyrs"
2,"Centre, Paris/Zitha"
2,"Luxembourg, Gare Centrale"
2,"Centre, Alsace"
2,"Gasperich, Déportation"
2,"Gasperich, Millewee"
2,"Gasperich, Clemenceau"
2,"Gasperich, Richard Wagner"
2,"Gasperich, Bei Der Auer"
2,"Gasperich, Al Gasperich"
2,"Gasperich, Klensch"
2,"Gasperich, Louis De Froment"
2,"Cessange, Rue Verte"
2,"Cessange, Kuelebierg"
2,"Cessange, Tubishaff"
2,"Cessange, Antoine"
2,"Cessange, Rue De Leudelange"
2,"Cessange, Boy Konen"
3,"Bonnevoie, Lycée Technique De Bonnevoie/Quais"
3,"Howald, C.I.P.A."
3,"Howald, Waassertuerm"
3,"Howald, Minsbësch"
3,"Howald, Bei Der Kierch"
3,"Howald, 9 Mai 1944"
3,"Howald, Rangwee"
3,"Bonnevoie, Lycée Technique De Bonnevoie/Quais"
4,"Leudelange, Gemeng"
4,"Limpertsberg, Lycée Michel Lucius"
4,"Limpertsberg, Avenir"
4,"Limpertsberg, Wassertuerm"
4,"Limpertsberg, Square André"
4,"Limpertsberg, Alen Tramsschapp"
4,"Limpertsberg, Lycée De Garçons"
4,"Limpertsberg, Lycée Robert Schuman"
4,"Centre, Fondation Pescatore"
4,"Centre, Martyrs"
4,"Centre, Paris/Zitha"
4,"Luxembourg, Gare Centrale"
4,"Hollerich, Fonderie"
4,"Hollerich, Assurances Sociales"
4,"Cessange, Barrès"
4,"Cessange, Artisans"
4,"Cessange, Fischerhaff"
4,"Cessange, Kierch"
4,"Cessange, Duerf"
4,"Cessange, Am Eck"
4,"Cessange, Rue De Leudelange"
4,"Leudelange, Grasbösch"
4,"Leudelange, Schaefert"
4,"Leudelange, Stiédswee"
4,"Leudelange, Queesche Wee"
4,"Leudelange, Galgebösch"
4,"Leudelange, Gemeng"
5,"Bertrange, Gemeng"
5,"Bonnevoie, Demy Schlechter"
5,"Bonnevoie, Willibrord"
5,"Bonnevoie, Jules Fischer"
5,"Bonnevoie, Nic Martha"
5,"Bonnevoie, Kaltreis"
5,"Bonnevoie, Izegerknupp"
5,"Bonnevoie, Anatole France"
5,"Bonnevoie, Jean Jacoby"
5,"Bonnevoie, Wisestrooss"
5,"Bonnevoie, Léon XIII"
5,"Bonnevoie, Rotonde"
5,"Luxembourg, Gare Rocade"
5,"Luxembourg, Wallis"
5,"Centre, Paris/Zitha"
5,"Centre, Martyrs"
5,"Centre, Monterey"
5,"Belair, Wampach"
5,"Belair, Crécy"
5,"Belair, Franciscaines"
5,"Merl, Parc"
5,"Belair, Place De France"
5,"Merl, Orval"
5,"Merl, Laang Heck"
5,"Merl, St.Hubert"
5,"Merl, Plaak"
5,"Merl, Op Der Millen"
5,"Bertrange, Fleuri"
5,"Bertrange, Richterwee"
5,"Bertrange, Montereale"
5,"Bertrange, Kierfecht"
5,"Bertrange, Gemeng"
6,"Bertrange, Gemeng"
6,"Bonnevoie, Demy Schlechter"
6,"Bonnevoie, Willibrord"
6,"Bonnevoie, Jules Fischer"
6,"Bonnevoie, Nic Martha"
6,"Bonnevoie, Kaltreis"
6,"Bonnevoie, Izegerknupp"
6,"Bonnevoie, Anatole France"
6,"Bonnevoie, Jean Jacoby"
6,"Bonnevoie, Wisestrooss"
6,"Bonnevoie, Léon XIII"
6,"Bonnevoie, Rotonde"
6,"Luxembourg, Gare Rocade"
6,"Luxembourg, Wallis"
6,"Centre, Paris/Zitha"
6,"Centre, Martyrs"
6,"Centre, Monterey"
6,"Belair, Wampach"
6,"Belair, Crécy"
6,"Belair, Franciscaines"
6,"Merl, Parc"
6,"Belair, Place De France"
6,"Merl, Orval"
6,"Merl, Laang Heck"
6,"Merl, St.Hubert"
6,"Merl, Plaak"
6,"Merl, Op Der Millen"
6,"Helfenterbréck, Pletzer"
6,"Helfent, City Concorde"
6,"Bertrange, Dicks"
6,"Bertrange, Gemeng"
7,"Kirchberg, Rehazenter Parking"
7,"Pulvermuhl, Hammerdällchen"
7,"Verlorenkost, Général Patton"
7,"Verlorenkost, Lavoisier"
