commune,existing_app_m2,existing_app_min,existing_app_max,new_app_m2,new_app_min,new_app_max
Beckerich,,,,4366,2695,5582
Berdorf,,,,4317,3860,4786
Bertrange,6012,4031,9600,7294,6251,8472
Bettembourg,4935,3781,6324,5472,4518,6274
Bissen,4451,3755,5675,,,
Boevange-sur-Attert,,,,4691,3304,5946
Clervaux,3756,2784,5428,,,
Colmar-Berg,4540,3725,5397,,,
Contern,5400,3765,7132,,,
Diekirch,4469,2582,6034,5595,4244,6418
Differdange,4212,2894,5372,4837,4077,5602
Dippach,4650,3621,5368,5441,4702,6337
Dudelange,4313,3043,5582,5336,4570,6341
Echternach,4277,2857,5496,,,
Ell,,,,4611,3036,5257
Erpeldange,4402,3696,5045,,,
Esch-sur-Alzette,4237,2675,5822,5498,4151,6994
Esch-sur-Sûre,,,,4127,3174,5439
Ettelbruck,4138,3143,5346,5394,4451,6086
Frisange,4985,3614,6726,5802,4393,6585
Grevenmacher,4347,3038,5463,,,
Hesperange,5744,3914,7226,7009,5731,8580
Hobscheid,4188,2195,4910,4799,4391,5363
Junglinster,5172,3983,6527,5619,5097,6652
Käerjeng,4251,2829,5469,,,
Kayl,4712,3584,5941,5144,4362,6204
Kehlen,4558,2973,5939,5776,4906,6922
Larochette,3824,2362,4593,,,
Leudelange,5769,4569,6745,,,
Lintgen,4719,3399,6202,5600,4953,6318
Lorentzweiler,5255,3296,6455,5734,4636,7345
Luxembourg-Ville,6968,4447,9625,7895,6197,10262
Mamer,5602,3909,6749,6437,5124,7729
Mersch,4790,3495,6203,5554,3301,7408
Mertert,4534,3130,5498,,,
Mondercange,4656,3706,5595,5691,4897,6296
Mondorf-les-Bains,4682,3036,5917,5822,5416,6463
ParcHosingen,3210,2524,4069,,,
Pétange,3980,2607,5302,4394,3704,5731
Reckange-sur-Mess,4518,2459,5420,,,
Remich,4429,3173,6417,,,
Roeser,5364,4481,6357,,,
Rumelange,3985,2898,5193,,,
Sandweiller,5555,3952,7004,6680,5475,7847
Sanem,4448,3303,5777,5735,5211,6518
Schengen,4743,3437,5698,,,
Schieren,4702,3704,5303,,,
Schifflange,4542,2869,6037,5449,4690,6144
Schuttrange,4979,2435,6078,,,
Septfontaines,4554,3723,6001,,,
Stadbredimus,4560,3414,6374,,,
Steinfort,4709,3993,5860,5420,4869,5942
Steinsel,5699,4598,7696,,,
Strassen,6656,4694,7961,7994,6801,9668
Tuntange,4653,4060,5249,,,
Valéedel'Ernz,3864,2128,4884,,,
Walferdange,5656,4394,6993,,,
Weiswampach,3772,2246,6232,4118,3715,4377
Wiltz,3364,2178,6075,4176,3704,4718
Wormeldange,3667,2251,5094,,,
