CODE_POSTAL,NOMBRE_HABITANTS
1112,107
1114,24
1115,2
1116,349
1117,268
1118,121
1119,21
1120,67
1121,47
1122,2
1123,4
1124,13
1126,85
1127,37
1128,297
1129,109
1130,57
1131,9
1132,48
1133,151
1134,351
1135,79
1136,15
1137,13
1138,4
1139,171
1140,283
1141,59
1142,2
1143,27
1145,463
1146,176
1147,143
1148,418
1149,17
1150,635
1151,81
1152,44
1159,247
1160,165
1161,325
1208,109
1209,38
1210,81
1211,306
1212,57
1213,54
1214,25
1215,178
1216,35
1217,96
1218,282
1219,137
1220,58
1221,1152
1222,33
1223,61
1224,245
1225,9
1226,109
1227,146
1228,7
1229,164
1230,178
1231,178
1232,353
1233,86
1234,35
1236,52
1237,44
1238,38
1239,28
1240,373
1241,52
1242,128
1243,376
1244,52
1245,59
1247,94
1248,4
1249,8
1250,286
1251,456
1254,104
1255,388
1256,18
1257,8
1258,241
1259,8
1260,751
1261,328
1262,147
1263,84
1264,7
1265,73
1266,123
1267,162
1268,45
1269,39
1270,507
1271,46
1272,394
1274,4
1275,78
1276,2
1277,22
1278,115
1279,155
1280,4
1281,19
1309,226
1310,19
1311,281
1312,5
1313,98
1314,77
1316,185
1317,42
1318,197
1319,209
1320,304
1321,981
1322,8
1323,186
1324,93
1325,34
1326,536
1327,4
1328,318
1329,185
1330,134
1331,216
1332,121
1333,35
1335,109
1336,74
1337,43
1338,627
1340,6
1341,13
1342,191
1343,114
1344,163
1345,65
1346,85
1349,17
1350,2
1351,77
1352,5
1353,139
1354,928
1355,66
1357,45
1358,7
1359,1
1361,179
1362,27
1363,481
1364,78
1365,167
1367,4
1368,65
1370,316
1371,456
1372,235
1374,98
1375,48
1409,48
1411,129
1412,85
1413,74
1414,6
1415,107
1416,21
1417,51
1418,4
1419,1
1420,1128
1421,8
1423,1
1424,191
1425,79
1426,122
1427,13
1428,33
1429,255
1430,441
1431,4
1432,3
1434,11
1445,1
1448,32
1449,41
1450,433
1451,152
1452,273
1453,321
1455,113
1456,445
1457,445
1458,15
1459,15
1460,175
1461,293
1462,26
1463,232
1464,94
1465,179
1466,627
1467,226
1468,4
1469,484
1470,249
1471,924
1472,82
1473,302
1474,13
1475,22
1476,26
1477,177
1478,9
1480,65
1481,276
1482,308
1483,231
1490,127
1499,5
1508,53
1509,43
1510,547
1511,674
1512,165
1513,409
1514,132
1515,83
1517,59
1518,164
1519,104
1520,519
1521,402
1522,212
1523,76
1525,11
1526,358
1527,242
1528,3
1529,278
1530,347
1531,161
1532,8
1533,1
1534,495
1535,23
1536,3
1537,142
1538,13
1539,91
1540,245
1541,326
1542,126
1543,1
1544,5
1545,48
1546,23
1548,4
1549,182
1550,364
1610,96
1611,412
1613,268
1615,1
1616,41
1617,544
1618,264
1619,244
1620,128
1621,189
1622,32
1623,26
1624,74
1625,7
1626,98
1627,142
1628,253
1629,52
1630,171
1631,426
1632,141
1633,12
1634,73
1635,208
1637,182
1638,178
1639,55
1640,43
1641,38
1642,177
1643,8
1644,125
1645,86
1646,147
1647,179
1648,7
1649,11
1650,269
1651,223
1654,18
1655,199
1660,64
1661,33
1670,49
1709,28
1710,179
1711,66
1712,79
1713,575
1714,14
1716,132
1717,19
1718,229
1719,158
1721,33
1722,2
1723,125
1724,116
1725,473
1726,174
1727,329
1728,38
1729,94
1730,242
1731,318
1732,31
1733,28
1734,91
1735,1
1736,1
1737,16
1738,67
1739,176
1740,296
1741,578
1742,182
1743,18
1744,76
1745,1
1746,48
1747,301
1749,94
1750,845
1811,4
1812,7
1813,63
1814,63
1815,221
1816,2
1817,37
1820,5
1831,249
1832,47
1833,4
1834,61
1835,155
1836,8
1837,112
1838,6
1839,237
1840,273
1841,204
1842,147
1845,167
1850,77
1851,46
1852,18
1853,116
1854,25
1855,37
1856,219
1857,372
1858,625
1859,25
1860,203
1861,5
1862,63
1863,77
1864,8
1865,211
1866,13
1867,156
1868,15
1870,482
1871,67
1872,17
1880,801
1881,109
1882,1
1898,172
1899,105
1910,36
1911,219
1912,335
1913,162
1914,58
1915,128
1916,52
1917,19
1918,83
1919,49
1920,5
1921,4
1922,66
1923,151
1924,205
1925,96
1926,95
1927,47
1928,1
1929,3
1930,188
1931,121
1932,179
1933,329
1934,91
1935,12
1937,138
1938,106
1939,98
1940,547
1941,767
1943,205
1944,141
1945,17
1946,86
1947,631
1948,475
1949,28
1950,59
1951,44
1952,104
1953,285
1954,65
2111,182
2112,357
2113,47
2114,29
2115,71
2116,15
2117,65
2118,153
2119,47
2121,75
2122,71
2123,5
2124,463
2125,125
2127,46
2128,287
2129,59
2130,145
2131,115
2132,134
2133,231
2134,198
2135,341
2137,96
2138,75
2139,24
2140,3
2141,163
2142,128
2143,565
2145,272
2146,639
2148,155
2149,398
2150,9
2151,51
2152,311
2153,323
2154,44
2155,482
2156,58
2157,101
2158,188
2159,14
2160,49
2161,21
2162,202
2163,138
2164,171
2165,6
2166,15
2167,653
2168,876
2169,28
2170,46
2171,39
2172,33
2173,85
2174,74
2175,185
2176,27
2177,9
2178,21
2179,55
2181,92
2184,34
2210,481
2211,32
2212,23
2213,64
2214,7
2215,22
2220,256
2221,1051
2222,1084
2223,4
2224,163
2225,92
2226,7
2227,62
2228,61
2229,76
2230,542
2231,159
2232,118
2233,142
2240,157
2241,198
2261,8
2262,184
2263,162
2265,35
2266,254
2267,58
2268,54
2269,118
2270,104
2271,48
2272,372
2273,419
2308,18
2309,84
2310,442
2311,507
2312,16
2313,129
2314,14
2316,223
2317,195
2319,171
2320,408
2322,158
2323,89
2324,323
2326,93
2327,97
2328,89
2330,106
2331,122
2332,4
2333,34
2334,5
2335,239
2336,201
2337,5
2338,68
2339,19
2340,114
2341,6
2342,266
2343,578
2344,2
2346,54
2347,2
2348,76
2349,186
2351,93
2352,5
2353,225
2354,2
2355,317
2356,27
2357,3
2358,129
2359,328
2360,387
2380,258
2381,2
2409,81
2410,812
2412,289
2413,8
2414,216
2416,77
2417,117
2418,4
2419,6
2420,113
2422,86
2423,339
2424,16
2425,18
2426,6
2427,217
2428,83
2429,103
2430,727
2431,76
2432,171
2433,47
2434,187
2435,215
2440,596
2441,534
2442,8
2443,223
2444,426
2445,177
2446,283
2447,3
2448,52
2449,177
2450,24
2451,292
2452,6
2453,7
2510,236
2511,303
2512,148
2513,27
2514,54
2515,77
2516,146
2517,12
2518,517
2519,1
2520,89
2521,321
2522,153
2523,21
2524,108
2526,173
2527,57
2528,5
2529,1
2531,189
2533,177
2534,2
2535,167
2536,26
2537,296
2538,76
2539,594
2540,11
2541,31
2542,469
2543,411
2544,145
2545,54
2546,103
2547,6
2548,4
2549,8
2550,519
2551,331
2552,43
2553,45
2554,138
2555,157
2556,19
2557,8
2558,95
2559,98
2560,823
2561,51
2562,24
2563,195
2564,2
2565,25
2566,38
2567,21
2609,12
2610,278
2611,476
2612,52
2613,13
2614,69
2615,18
2616,44
2617,29
2619,101
2620,63
2621,39
2622,33
2623,11
2624,335
2625,228
2626,33
2627,48
2628,584
2629,141
2630,28
2631,127
2632,32
2633,143
2634,1
2635,36
